name,url,filepath,depth
AngeliaWilliamsGraves,https://www.angeliawilliamsgraves.com/contribute?amount=50,html/Senate/AngeliaWilliamsGraves/www.angeliawilliamsgraves.com|contribute16993050253553681,2
TravisSNembhard,https://nembhardforvirginia.com/es/get-involved/,html/House/TravisSNembhard/nembhardforvirginia.com|es|get-involved|16993050257116592,2
JoshuaGCole,https://www.jgcole.org/article/delegate-joshua-cole-requests-state-funding-for-brooke-road,html/House/JoshuaGCole/www.jgcole.org|article|delegate-joshua-cole-requests-state-funding-for-brooke-road16993050258568943,2
AmyJLaufer,https://lauferfordelegate.com/endorsements/60c120a27c635-image/,html/House/AmyJLaufer/lauferfordelegate.com|endorsements|60c120a27c635-image|16993050258797352,2
AngeliaWilliamsGraves,https://www.angeliawilliamsgraves.com/contribute?amount=121,html/Senate/AngeliaWilliamsGraves/www.angeliawilliamsgraves.com|contribute16993050260589788,2
CECliffHayesJr,https://cliffhayes.com/about/http,html/House/CECliffHayesJr/cliffhayes.com|about|http16993050262045095,2
AmyJLaufer,https://lauferfordelegate.com/endorsements/patrick_hope/,html/House/AmyJLaufer/lauferfordelegate.com|endorsements|patrick_hope|16993050262253027,2
JoshuaGCole,https://www.jgcole.org/article/hb-2075-re-designate-jefferson-davis-highway-as-emancipation-highway,html/House/JoshuaGCole/www.jgcole.org|article|hb-2075-re-designate-jefferson-davis-highway-as-emancipation-highway16993050263383813,2
TravisSNembhard,https://nembhardforvirginia.com/es/privacy-policy/,html/House/TravisSNembhard/nembhardforvirginia.com|es|privacy-policy|16993050264541218,2
AngeliaWilliamsGraves,https://www.angeliawilliamsgraves.com/contribute?amount=250,html/Senate/AngeliaWilliamsGraves/www.angeliawilliamsgraves.com|contribute16993050266081555,2
JasonAFord,https://fordforva.com/ndrc/,html/Senate/JasonAFord/fordforva.com|ndrc|16993050267640991,2
JoshuaGCole,https://www.jgcole.org/article/hb-5106-prohibiting-landlords-from-running-negative-credits-checks-during-the-covid-19-pandemic,html/House/JoshuaGCole/www.jgcole.org|article|hb-5106-prohibiting-landlords-from-running-negative-credits-checks-during-the-covid-19-pandemic169930502689063,2
AmyJLaufer,https://lauferfordelegate.com/endorsements/attachment/1516787412396/,html/House/AmyJLaufer/lauferfordelegate.com|endorsements|attachment|1516787412396|16993050269005084,2
CECliffHayesJr,https://cliffhayes.com/hayespic/,html/House/CECliffHayesJr/cliffhayes.com|hayespic|1699305026949931,2
JasonAFord,https://fordforva.com/ppva-2/,html/Senate/JasonAFord/fordforva.com|ppva-2|16993050271689227,2
AngeliaWilliamsGraves,https://www.angeliawilliamsgraves.com/contribute?amount=500,html/Senate/AngeliaWilliamsGraves/www.angeliawilliamsgraves.com|contribute1699305027260794,2
